"","X","LF_Number","LF_Name","HPDG_total_count","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","X_Future","HPDG_total_count_Future","VH_total_count_Future","H_total_count_Future","M_total_count_Future","L_total_count_Future","VL_total_count_Future","LPDG_total_count_Future"
"MOYEHA RIVER.8",8,25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",1,0,0,0,0,0,0,8,1,0,0,0,0,0,0
"MOYEHA RIVER.9",9,26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,9,1,0,0,0,0,0,0
"MOYEHA RIVER.10",10,27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,10,1,0,0,0,0,0,0
"MOYEHA RIVER.11",11,28,"LF28: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,11,1,0,0,0,0,0,0
"MOYEHA RIVER.12",12,33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,12,1,0,0,0,0,0,0
"MOYEHA RIVER.13",13,35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,13,1,0,0,0,0,0,0
"MOYEHA RIVER.14",14,42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,14,1,0,0,0,0,0,0
"MOYEHA RIVER.15",15,43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,15,1,0,0,0,0,0,0
"MOYEHA RIVER.16",16,44,"LF44: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,16,1,0,0,0,0,0,0
"MOYEHA RIVER.17",17,49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",1,0,0,0,0,0,0,17,1,0,0,0,0,0,0
"MOYEHA RIVER.18",18,52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,18,1,0,0,0,0,0,0
"MOYEHA RIVER.19",19,54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",1,0,0,0,0,0,0,19,1,0,0,0,0,0,0
"MOYEHA RIVER.20",20,55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",1,0,0,0,0,0,0,20,1,0,0,0,0,0,0
"MOYEHA RIVER.21",21,56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",1,0,0,0,0,0,0,21,1,0,0,0,0,0,0
"MOYEHA RIVER.22",22,57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",1,0,0,0,0,0,0,22,1,0,0,0,0,0,0
"MOYEHA RIVER.23",23,58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",1,0,0,0,0,0,0,23,1,0,0,0,0,0,0
"MOYEHA RIVER.24",24,59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",1,0,0,0,0,0,0,24,1,0,0,0,0,0,0
"MOYEHA RIVER.25",25,60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",1,0,0,0,0,0,0,25,1,0,0,0,0,0,0
"MOYEHA RIVER.26",26,61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,26,1,0,0,0,0,0,0
"MOYEHA RIVER.27",27,62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,27,1,0,0,0,0,0,0
"MOYEHA RIVER.28",28,63,"LF63: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,28,1,0,0,0,0,0,0
"MOYEHA RIVER.29",29,64,"LF64: Mortality or fitness reduction due to increases in salinity",1,0,0,0,0,0,0,29,1,0,0,0,0,0,0
"MOYEHA RIVER.30",30,68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",1,0,0,0,0,0,0,30,1,0,0,0,0,0,0
"MOYEHA RIVER.31",31,70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",1,0,0,0,0,0,0,31,1,0,0,0,0,0,0
"MOYEHA RIVER.32",32,67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",0,0,1,0,0,0,0,32,0,1,0,0,0,0,0
"MOYEHA RIVER.33",33,51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,0,1,0,0,68,0,0,0,1,0,0,0
"MOYEHA RIVER.34",34,1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",0,0,0,0,0,1,0,52,0,0,0,0,0,1,0
"MOYEHA RIVER.35",35,2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",0,0,0,0,0,1,0,53,0,0,0,0,0,1,0
"MOYEHA RIVER.36",36,3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",0,0,0,0,0,1,0,34,0,0,0,0,1,0,0
"MOYEHA RIVER.37",37,5,"LF5: Mortality or fitness reduction due to competition with invasive species",0,0,0,0,0,1,0,54,0,0,0,0,0,1,0
"MOYEHA RIVER.38",38,6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",0,0,0,0,0,1,0,35,0,0,0,0,1,0,0
"MOYEHA RIVER.39",39,7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",0,0,0,0,0,1,0,55,0,0,0,0,0,1,0
"MOYEHA RIVER.40",40,8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",0,0,0,0,0,1,0,56,0,0,0,0,0,1,0
"MOYEHA RIVER.41",41,9,"LF9: Mortality or fitness reduction due to fishing",0,0,0,0,0,1,0,57,0,0,0,0,0,1,0
"MOYEHA RIVER.42",42,11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,0,0,1,0,36,0,0,0,0,1,0,0
"MOYEHA RIVER.43",43,15,"LF15: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,1,0,58,0,0,0,0,0,1,0
"MOYEHA RIVER.44",44,16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",0,0,0,0,0,1,0,37,0,0,0,0,1,0,0
"MOYEHA RIVER.45",45,17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",0,0,0,0,0,1,0,38,0,0,0,0,1,0,0
"MOYEHA RIVER.46",46,18,"LF18: Mortality due to redd disturbance by humans",0,0,0,0,0,1,0,39,0,0,0,0,1,0,0
"MOYEHA RIVER.47",47,21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",0,0,0,0,0,1,0,59,0,0,0,0,0,1,0
"MOYEHA RIVER.48",48,29,"LF29: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,1,0,60,0,0,0,0,0,1,0
"MOYEHA RIVER.49",49,32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,0,0,1,0,40,0,0,0,0,1,0,0
"MOYEHA RIVER.50",50,34,"LF34: Mortality or fitness reduction due to competition from invasive species",0,0,0,0,0,1,0,41,0,0,0,0,1,0,0
"MOYEHA RIVER.51",51,36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",0,0,0,0,0,1,0,42,0,0,0,0,1,0,0
"MOYEHA RIVER.52",52,37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",0,0,0,0,0,1,0,43,0,0,0,0,1,0,0
"MOYEHA RIVER.53",53,38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",0,0,0,0,0,1,0,44,0,0,0,0,1,0,0
"MOYEHA RIVER.54",54,39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",0,0,0,0,0,1,0,61,0,0,0,0,0,1,0
"MOYEHA RIVER.55",55,41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",0,0,0,0,0,1,0,45,0,0,0,0,1,0,0
"MOYEHA RIVER.56",56,45,"LF45: Mortality or fitness reduction as a result of deleterious substances",0,0,0,0,0,1,0,46,0,0,0,0,1,0,0
"MOYEHA RIVER.57",57,47,"LF47: Mortality or fitness reduction due to elevated predation",0,0,0,0,0,1,0,47,0,0,0,0,1,0,0
"MOYEHA RIVER.58",58,48,"LF48: Mortality or fitness reduction due to predation by invasive species",0,0,0,0,0,1,0,48,0,0,0,0,1,0,0
"MOYEHA RIVER.59",59,50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,0,0,1,0,49,0,0,0,0,1,0,0
"MOYEHA RIVER.60",60,53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",0,0,0,0,0,1,0,50,0,0,0,0,1,0,0
"MOYEHA RIVER.61",61,65,"LF65: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,1,0,51,0,0,0,0,1,0,0
"MOYEHA RIVER.62",62,69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",0,0,0,0,0,1,0,62,0,0,0,0,0,1,0
"MOYEHA RIVER.63",63,12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1,63,0,0,0,0,0,0,1
"MOYEHA RIVER.64",64,30,"LF30: Mortality or fitness reduction as a result of elevated predation",0,0,0,0,0,0,1,64,0,0,0,0,0,0,1
"MOYEHA RIVER.65",65,31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",0,0,0,0,0,0,1,65,0,0,0,0,0,0,1
"MOYEHA RIVER.66",66,46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",0,0,0,0,0,0,1,66,0,0,0,0,0,0,1
"MOYEHA RIVER.67",67,66,"LF66: Mortality or fitness reduction due to ingestion of microplastics",0,0,0,0,0,0,1,67,0,0,0,0,0,0,1
"MOYEHA RIVER.68",68,40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",0,0,0,1,0,0,0,33,0,0,1,0,0,0,0
"CYPRE RIVER.1",1,4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"CYPRE RIVER.2",2,10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"CYPRE RIVER.3",3,13,"LF13: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,3,1,0,0,0,0,0,0
"CYPRE RIVER.4",4,14,"LF14: Mortality or fitness reduction as a result of changes to salinity",1,0,0,0,0,0,0,4,1,0,0,0,0,0,0
"CYPRE RIVER.5",5,15,"LF15: Mortality or fitness reduction due to deleterious substances",1,0,0,0,0,0,0,5,1,0,0,0,0,0,0
"CYPRE RIVER.6",6,19,"LF19: Mortality or fitness reduction due to early alevin emergence",1,0,0,0,0,0,0,6,1,0,0,0,0,0,0
"CYPRE RIVER.7",7,20,"LF20: Mortality or fitness reduction due to redd overspawn",1,0,0,0,0,0,0,7,1,0,0,0,0,0,0
"CYPRE RIVER.8",8,22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",1,0,0,0,0,0,0,8,1,0,0,0,0,0,0
"CYPRE RIVER.9",9,25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",1,0,0,0,0,0,0,9,1,0,0,0,0,0,0
"CYPRE RIVER.10",10,26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,10,1,0,0,0,0,0,0
"CYPRE RIVER.11",11,27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,11,1,0,0,0,0,0,0
"CYPRE RIVER.12",12,28,"LF28: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,12,1,0,0,0,0,0,0
"CYPRE RIVER.13",13,30,"LF30: Mortality or fitness reduction as a result of elevated predation",1,0,0,0,0,0,0,13,1,0,0,0,0,0,0
"CYPRE RIVER.14",14,33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,14,1,0,0,0,0,0,0
"CYPRE RIVER.15",15,35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,15,1,0,0,0,0,0,0
"CYPRE RIVER.16",16,38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",1,0,0,0,0,0,0,16,1,0,0,0,0,0,0
"CYPRE RIVER.17",17,39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",1,0,0,0,0,0,0,17,1,0,0,0,0,0,0
"CYPRE RIVER.18",18,42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,18,1,0,0,0,0,0,0
"CYPRE RIVER.19",19,43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,19,1,0,0,0,0,0,0
"CYPRE RIVER.20",20,44,"LF44: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,20,1,0,0,0,0,0,0
"CYPRE RIVER.21",21,49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",1,0,0,0,0,0,0,21,1,0,0,0,0,0,0
"CYPRE RIVER.22",22,52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,22,1,0,0,0,0,0,0
"CYPRE RIVER.23",23,54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",1,0,0,0,0,0,0,23,1,0,0,0,0,0,0
"CYPRE RIVER.24",24,55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",1,0,0,0,0,0,0,24,1,0,0,0,0,0,0
"CYPRE RIVER.25",25,56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",1,0,0,0,0,0,0,25,1,0,0,0,0,0,0
"CYPRE RIVER.26",26,57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",1,0,0,0,0,0,0,26,1,0,0,0,0,0,0
"CYPRE RIVER.27",27,60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",1,0,0,0,0,0,0,27,1,0,0,0,0,0,0
"CYPRE RIVER.28",28,61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,28,1,0,0,0,0,0,0
"CYPRE RIVER.29",29,62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,29,1,0,0,0,0,0,0
"CYPRE RIVER.30",30,63,"LF63: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,30,1,0,0,0,0,0,0
"CYPRE RIVER.31",31,64,"LF64: Mortality or fitness reduction due to increases in salinity",1,0,0,0,0,0,0,31,1,0,0,0,0,0,0
"CYPRE RIVER.32",32,65,"LF65: Mortality or fitness reduction due to deleterious substances",1,0,0,0,0,0,0,32,1,0,0,0,0,0,0
"CYPRE RIVER.33",33,68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",1,0,0,0,0,0,0,33,1,0,0,0,0,0,0
"CYPRE RIVER.34",34,70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",1,0,0,0,0,0,0,34,1,0,0,0,0,0,0
"CYPRE RIVER.35",35,36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",0,1,0,0,0,0,0,36,0,1,0,0,0,0,0
"CYPRE RIVER.36",36,37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",0,1,0,0,0,0,0,37,0,1,0,0,0,0,0
"CYPRE RIVER.37",37,51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,1,0,0,0,0,0,38,0,1,0,0,0,0,0
"CYPRE RIVER.38",38,67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",0,0,1,0,0,0,0,39,0,1,0,0,0,0,0
"CYPRE RIVER.39",39,1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",0,0,0,0,1,0,0,66,0,0,0,1,0,0,0
"CYPRE RIVER.40",40,41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",0,0,0,0,1,0,0,67,0,0,0,1,0,0,0
"CYPRE RIVER.41",41,69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",0,0,0,0,1,0,0,68,0,0,0,1,0,0,0
"CYPRE RIVER.42",42,2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",0,0,0,0,0,1,0,47,0,0,0,0,0,1,0
"CYPRE RIVER.43",43,3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",0,0,0,0,0,1,0,48,0,0,0,0,0,1,0
"CYPRE RIVER.44",44,5,"LF5: Mortality or fitness reduction due to competition with invasive species",0,0,0,0,0,1,0,49,0,0,0,0,0,1,0
"CYPRE RIVER.45",45,9,"LF9: Mortality or fitness reduction due to fishing",0,0,0,0,0,1,0,50,0,0,0,0,0,1,0
"CYPRE RIVER.46",46,16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",0,0,0,0,0,1,0,51,0,0,0,0,0,1,0
"CYPRE RIVER.47",47,17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",0,0,0,0,0,1,0,52,0,0,0,0,0,1,0
"CYPRE RIVER.48",48,18,"LF18: Mortality due to redd disturbance by humans",0,0,0,0,0,1,0,53,0,0,0,0,0,1,0
"CYPRE RIVER.49",49,21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",0,0,0,0,0,1,0,54,0,0,0,0,0,1,0
"CYPRE RIVER.50",50,32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,0,0,1,0,55,0,0,0,0,0,1,0
"CYPRE RIVER.51",51,34,"LF34: Mortality or fitness reduction due to competition from invasive species",0,0,0,0,0,1,0,56,0,0,0,0,0,1,0
"CYPRE RIVER.52",52,47,"LF47: Mortality or fitness reduction due to elevated predation",0,0,0,0,0,1,0,57,0,0,0,0,0,1,0
"CYPRE RIVER.53",53,48,"LF48: Mortality or fitness reduction due to predation by invasive species",0,0,0,0,0,1,0,58,0,0,0,0,0,1,0
"CYPRE RIVER.54",54,50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,0,0,1,0,46,0,0,0,0,1,0,0
"CYPRE RIVER.55",55,53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",0,0,0,0,0,1,0,59,0,0,0,0,0,1,0
"CYPRE RIVER.56",56,12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1,60,0,0,0,0,0,0,1
"CYPRE RIVER.57",57,29,"LF29: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1,61,0,0,0,0,0,0,1
"CYPRE RIVER.58",58,31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",0,0,0,0,0,0,1,62,0,0,0,0,0,0,1
"CYPRE RIVER.59",59,45,"LF45: Mortality or fitness reduction as a result of deleterious substances",0,0,0,0,0,0,1,63,0,0,0,0,0,0,1
"CYPRE RIVER.60",60,46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",0,0,0,0,0,0,1,64,0,0,0,0,0,0,1
"CYPRE RIVER.61",61,66,"LF66: Mortality or fitness reduction due to ingestion of microplastics",0,0,0,0,0,0,1,65,0,0,0,0,0,0,1
"CYPRE RIVER.62",62,6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",0,0,0,1,0,0,0,40,0,0,1,0,0,0,0
"CYPRE RIVER.63",63,7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",0,0,0,1,0,0,0,41,0,0,1,0,0,0,0
"CYPRE RIVER.64",64,8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",0,0,0,1,0,0,0,42,0,0,1,0,0,0,0
"CYPRE RIVER.65",65,11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,1,0,0,0,35,0,1,0,0,0,0,0
"CYPRE RIVER.66",66,40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",0,0,0,1,0,0,0,43,0,0,1,0,0,0,0
"CYPRE RIVER.67",67,58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",0,0,0,1,0,0,0,44,0,0,1,0,0,0,0
"CYPRE RIVER.68",68,59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",0,0,0,1,0,0,0,45,0,0,1,0,0,0,0
"BEDWELL RIVER.1",1,4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"BEDWELL RIVER.2",2,10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"BEDWELL RIVER.3",3,13,"LF13: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,3,1,0,0,0,0,0,0
"BEDWELL RIVER.4",4,14,"LF14: Mortality or fitness reduction as a result of changes to salinity",1,0,0,0,0,0,0,4,1,0,0,0,0,0,0
"BEDWELL RIVER.5",5,15,"LF15: Mortality or fitness reduction due to deleterious substances",1,0,0,0,0,0,0,5,1,0,0,0,0,0,0
"BEDWELL RIVER.6",6,19,"LF19: Mortality or fitness reduction due to early alevin emergence",1,0,0,0,0,0,0,6,1,0,0,0,0,0,0
"BEDWELL RIVER.7",7,20,"LF20: Mortality or fitness reduction due to redd overspawn",1,0,0,0,0,0,0,7,1,0,0,0,0,0,0
"BEDWELL RIVER.8",8,22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",1,0,0,0,0,0,0,8,1,0,0,0,0,0,0
"BEDWELL RIVER.9",9,25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",1,0,0,0,0,0,0,9,1,0,0,0,0,0,0
"BEDWELL RIVER.10",10,26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,10,1,0,0,0,0,0,0
"BEDWELL RIVER.11",11,27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,11,1,0,0,0,0,0,0
"BEDWELL RIVER.12",12,28,"LF28: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,12,1,0,0,0,0,0,0
"BEDWELL RIVER.13",13,29,"LF29: Mortality or fitness reduction due to deleterious substances",1,0,0,0,0,0,0,13,1,0,0,0,0,0,0
"BEDWELL RIVER.14",14,30,"LF30: Mortality or fitness reduction as a result of elevated predation",1,0,0,0,0,0,0,14,1,0,0,0,0,0,0
"BEDWELL RIVER.15",15,33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,15,1,0,0,0,0,0,0
"BEDWELL RIVER.16",16,35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,16,1,0,0,0,0,0,0
"BEDWELL RIVER.17",17,39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",1,0,0,0,0,0,0,17,1,0,0,0,0,0,0
"BEDWELL RIVER.18",18,42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,18,1,0,0,0,0,0,0
"BEDWELL RIVER.19",19,43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,19,1,0,0,0,0,0,0
"BEDWELL RIVER.20",20,44,"LF44: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,20,1,0,0,0,0,0,0
"BEDWELL RIVER.21",21,45,"LF45: Mortality or fitness reduction as a result of deleterious substances",1,0,0,0,0,0,0,21,1,0,0,0,0,0,0
"BEDWELL RIVER.22",22,49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",1,0,0,0,0,0,0,22,1,0,0,0,0,0,0
"BEDWELL RIVER.23",23,52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,23,1,0,0,0,0,0,0
"BEDWELL RIVER.24",24,54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",1,0,0,0,0,0,0,24,1,0,0,0,0,0,0
"BEDWELL RIVER.25",25,55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",1,0,0,0,0,0,0,25,1,0,0,0,0,0,0
"BEDWELL RIVER.26",26,56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",1,0,0,0,0,0,0,26,1,0,0,0,0,0,0
"BEDWELL RIVER.27",27,57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",1,0,0,0,0,0,0,27,1,0,0,0,0,0,0
"BEDWELL RIVER.28",28,60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",1,0,0,0,0,0,0,28,1,0,0,0,0,0,0
"BEDWELL RIVER.29",29,61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,29,1,0,0,0,0,0,0
"BEDWELL RIVER.30",30,62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,30,1,0,0,0,0,0,0
"BEDWELL RIVER.31",31,63,"LF63: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,31,1,0,0,0,0,0,0
"BEDWELL RIVER.32",32,64,"LF64: Mortality or fitness reduction due to increases in salinity",1,0,0,0,0,0,0,32,1,0,0,0,0,0,0
"BEDWELL RIVER.33",33,65,"LF65: Mortality or fitness reduction due to deleterious substances",1,0,0,0,0,0,0,33,1,0,0,0,0,0,0
"BEDWELL RIVER.34",34,68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",1,0,0,0,0,0,0,34,1,0,0,0,0,0,0
"BEDWELL RIVER.35",35,70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",1,0,0,0,0,0,0,35,1,0,0,0,0,0,0
"BEDWELL RIVER.36",36,36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",0,1,0,0,0,0,0,36,0,1,0,0,0,0,0
"BEDWELL RIVER.37",37,37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",0,1,0,0,0,0,0,37,0,1,0,0,0,0,0
"BEDWELL RIVER.38",38,38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",0,0,1,0,0,0,0,38,0,1,0,0,0,0,0
"BEDWELL RIVER.39",39,51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,1,0,0,0,0,39,0,1,0,0,0,0,0
"BEDWELL RIVER.40",40,67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",0,0,1,0,0,0,0,40,0,1,0,0,0,0,0
"BEDWELL RIVER.41",41,11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,0,1,0,0,67,0,0,0,1,0,0,0
"BEDWELL RIVER.42",42,41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",0,0,0,0,1,0,0,47,0,0,0,0,1,0,0
"BEDWELL RIVER.43",43,69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",0,0,0,0,1,0,0,68,0,0,0,1,0,0,0
"BEDWELL RIVER.44",44,1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",0,0,0,0,0,1,0,49,0,0,0,0,0,1,0
